114,tcp,tcp://114.114.114.114/
114,udp,udp://114.114.114.114/
adguard,rfc8484,https://dns.adguard.com/dns-query
adguard,tcp,tcp://176.103.130.130/
adguard,tls,tcp-tls://dns.adguard.com/
adguard,udp,udp://176.103.130.130/
alidns,rfc8484,https://dns.alidns.com/dns-query
alidns,tcp,tcp://223.5.5.5/
alidns,tls,tcp-tls://223.5.5.5/
alidns,udp,udp://223.5.5.5/
baidu,udp,udp://180.76.76.76/
cloudflare,rfc8484,https://security.cloudflare-dns.com/dns-query
cloudflare,tcp,tcp://1.1.1.1/
cloudflare,tls,tcp-tls://one.one.one.one/
cloudflare,udp,udp://1.1.1.1/
cnnic,udp,udp://1.2.4.8/
comodo,tcp,tcp://8.26.56.26/
comodo,udp,udp://8.26.56.26/
containerpi,google,https://dns.containerpi.com/dns-query
containerpi,rfc8484,https://dns.containerpi.com/dns-query
containerpi,tls,tcp-tls://dns.containerpi.com/
dnslify,rfc8484,https://doh.dnslify.com/dns-query
dnslify,tcp,tcp://185.235.81.1/
dnslify,udp,udp://185.235.81.1/
dnspai,udp,udp://101.226.4.6/
dnspod,tcp,tcp://119.29.29.29/
dnspod,udp,udp://119.29.29.29/
dns.sb,rfc8484,https://dns.sb/dns-query
dns-watch,tcp,tcp://84.200.69.80/
dns-watch,udp,udp://84.200.69.80/
doh.li,rfc8484,https://doh.li/dns-query
doh.li,tls,tcp-tls://doh.li/
dyn,tcp,tcp://216.146.35.35/
dyn,udp,udp://216.146.35.35/
freedns,udp,udp://37.235.1.174/
freenom,tcp,tcp://80.80.80.80/
freenom,udp,udp://80.80.80.80/
google,google,https://dns.google/resolve
google,rfc8484,https://dns.google/dns-query
google,tcp,tcp://8.8.8.8/
google,tls,tcp-tls://8.8.8.8/
google,udp,udp://8.8.8.8/
he,rfc8484,https://ordns.he.net/dns-query
he,tcp,tcp://74.82.42.42/
he,udp,udp://74.82.42.42/
neustar,tcp,tcp://156.154.70.1/
neustar,udp,udp://156.154.70.1/
nextdns,rfc8484,https://dns.nextdns.io/e83b12
nextdns,tcp,tcp://45.90.28.253/
nextdns,tls,tcp-tls://76dc6f.dns.nextdns.io/
nextdns,udp,udp://45.90.28.253/
onedns,udp,udp://117.50.11.11/
opendns,rfc8484,https://doh.opendns.com/dns-query
opendns,tcp,tcp://208.67.222.222/
opendns,udp,udp://208.67.222.222/
opennic,tcp,tcp://185.121.177.177/
opennic,udp,udp://185.121.177.177/
quad9,rfc8484,https://dns.quad9.net/dns-query
quad9,tcp,tcp://9.9.9.9/
quad9,tls,tcp-tls://dns.quad9.net/
quad9,udp,udp://9.9.9.9/
safedns,tcp,tcp://195.46.39.39/
safedns,udp,udp://195.46.39.39/
twnic,rfc8484,https://dns.twnic.tw/dns-query
twnic,tcp,tcp://101.101.101.101/
twnic,tls,tcp-tls://101.101.101.101/
twnic,udp,udp://101.101.101.101/
verisign,tcp,tcp://64.6.64.6/
verisign,udp,udp://64.6.64.6/
yandex,tcp,tcp://77.88.8.8/
yandex,udp,udp://77.88.8.8/
